iter	RMSE
0	14.1116885
1	13.18854277
2	12.33067799
3	11.55383881
4	10.86490023
5	10.26439564
6	9.756685497
7	9.318677172
8	8.926566791
9	8.525200228
10	8.16176429
11	7.872644651
12	7.612027504
13	7.384759798
14	7.146668628
15	6.933911645
16	6.762041204
17	6.609656963
18	6.445813121
19	6.327559194
20	6.204119032
21	6.113701387
22	6.014175632
23	5.915431186
24	5.838714399
25	5.766723709
26	5.699181133
27	5.645888709
28	5.600340299
29	5.548007387
30	5.508383237
31	5.468761751
32	5.430510783
33	5.394595067
34	5.35931224
35	5.327870895
36	5.30039672
37	5.279901816
38	5.25638815
39	5.236377674
40	5.223277725
41	5.204762268
42	5.185901467
43	5.168264763
44	5.153957264
45	5.140642473
46	5.124166469
47	5.114749995
48	5.095152819
49	5.082783676
50	5.066833553
51	5.058087661
52	5.040740665
53	5.027708138
54	5.008372752
55	5.005249428
56	4.987247649
57	4.976179831
58	4.967506972
59	4.954500575
60	4.940683913
61	4.933243991
62	4.923113305
63	4.910577873
64	4.903200119
65	4.888240031
66	4.871473991
67	4.857078821
68	4.855555234
69	4.836736746
70	4.827512943
71	4.814100586
72	4.802892277
73	4.789862976
74	4.779692371
75	4.764255971
76	4.749731144
77	4.737132016
78	4.726919617
79	4.716212941
80	4.708823581
81	4.702949127
82	4.698454197
83	4.694160037
84	4.682867937
85	4.676729404
86	4.663270128
87	4.656514878
88	4.644115914
89	4.636015714
90	4.630277106
91	4.617410722
92	4.613692102
93	4.609619909
94	4.600306653
95	4.58318199
96	4.575748766
97	4.564419933
98	4.561873835
99	4.556783401
