iter	Passed	Remaining
0	0	94
1	1	80
2	2	77
3	3	75
4	3	72
5	4	71
6	5	71
7	6	70
8	6	70
9	7	69
10	8	68
11	9	68
12	10	67
13	10	67
14	11	66
15	12	65
16	13	64
17	14	63
18	14	63
19	15	62
20	16	61
21	17	60
22	17	60
23	18	59
24	19	58
25	20	57
26	21	56
27	21	55
28	22	54
29	23	54
30	23	53
31	24	52
32	25	51
33	26	50
34	26	50
35	27	49
36	28	48
37	29	47
38	29	46
39	30	45
40	31	45
41	32	44
42	32	43
43	33	42
44	34	42
45	35	41
46	36	40
47	36	39
48	37	39
49	38	38
50	39	37
51	40	37
52	40	36
53	41	35
54	42	34
55	42	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	30
61	47	29
62	48	28
63	49	27
64	49	26
65	50	25
66	51	25
67	51	24
68	52	23
69	53	22
70	53	21
71	54	21
72	55	20
73	55	19
74	56	18
75	57	18
76	57	17
77	58	16
78	59	15
79	60	15
80	60	14
81	61	13
82	62	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	67	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	73	1
98	73	0
99	74	0
